,Num. of Titles,unique,complete overlap (holdings),partial overlap,Title overlap,% unique titles,% complete overlap,% partial overlap,% Title overlap
Set 1,1017,541,63,410,47,53.2,6.2,40.3,4.6
ABI/INFORM Collection,74,9,1,63,1,12.2,1.4,85.1,1.4
American Association for the Advancement of Science,1,1,0,0,0,100,0,0,0
American Chemical Society Journals,1,0,0,1,0,0,0,100,0
American Chemical Society Legacy Archive,1,0,0,1,0,0,0,100,0
Annual Reviews,10,2,1,7,0,20,10,70,0
Bioline International,3,0,0,3,0,0,0,100,0
Business Insights: Essentials,14,1,1,12,0,7.1,7.1,85.7,0
Canadian Business & Current Affairs Database,16,1,0,14,1,6.2,0,87.5,6.2
Canadian Science Publishing (NRC Research Press) Back Issues,5,0,0,0,5,0,0,0,100
Canadian Science Publishing (NRC Research Press) Current,9,1,0,8,0,11.1,0,88.9,0
CRKN Cambridge University Press Journals,29,13,1,15,0,44.8,3.4,51.7,0
Canadiana Online - Periodicals,1,0,0,0,1,0,0,0,100
CRKN Institute of Physics Journals Current,2,0,1,1,0,0,50,50,0
CRKN Oxford University Press Current,37,2,1,22,12,5.4,2.7,59.5,32.4
CRKN Wiley Online Library,158,46,0,112,0,29.1,0,70.9,0
EBSCOhost Academic Search Complete,256,55,41,159,1,21.5,16,62.1,0.4
EBSCOhost Alt HealthWatch,1,0,0,1,0,0,0,100,0
EBSCOhost American Antiquarian Society Historical Periodicals Series: 5,1,0,0,1,0,0,0,100,0
EBSCOhost America History and Life with Full Text,1,0,0,1,0,0,0,100,0
EBSCOhost Business Source Complete,47,1,5,41,0,2.1,10.6,87.2,0
EBSCOhost Canadian Reference Centre,10,0,1,9,0,0,10,90,0
EBSCOhost CINAHL Plus with Full Text,3,0,0,3,0,0,0,100,0
EBSCOhost Communication & Mass Media Complete,1,0,0,1,0,0,0,100,0
EBSCOhost Computers and Applied Sciences Complete,21,1,10,10,0,4.8,47.6,47.6,0
EBSCOhost Education Research Complete,6,0,0,6,0,0,0,100,0
MacEwan EBSCO Electronic Journals Service,54,4,2,48,0,7.4,3.7,88.9,0
EBSCOhost Environment Complete,276,38,41,196,1,13.8,14.9,71,0.4
EBSCOhost Health Policy Reference Center,6,0,1,5,0,0,16.7,83.3,0
EBSCOhost Health Source Consumer Edition,1,0,0,1,0,0,0,100,0
EBSCOhost Historical Abstracts with Full Text,1,0,0,1,0,0,0,100,0
EBSCOhost Humanities International Complete,10,1,0,9,0,10,0,90,0
EBSCOhost Literary Reference Center,3,0,0,3,0,0,0,100,0
EBSCOhost MasterFILE Premier,9,0,2,7,0,0,22.2,77.8,0
EBSCOhost Political Science Complete,20,0,0,20,0,0,0,100,0
EBSCOhost Religion and Philosophy Collection,4,0,1,3,0,0,25,75,0
EBSCOhost SocINDEX with Full Text,19,2,1,16,0,10.5,5.3,84.2,0
EBSCOhost SPORTDiscus with Full Text,5,0,0,5,0,0,0,100,0
Elsevier ScienceDirect Journals Complete,238,230,2,6,0,96.6,0.8,2.5,0
Emerald Backfiles,2,0,0,2,0,0,0,100,0
Emerald Management 120,3,0,0,3,0,0,0,100,0
Gale In Context: World History,2,0,0,2,0,0,0,100,0
Gale OneFile: CPI.Q,13,1,0,12,0,7.7,0,92.3,0
IEEE Electronic Library (IEL),7,7,0,0,0,100,0,0,0
JSTOR Arts and Sciences I,10,0,1,9,0,0,10,90,0
JSTOR Arts and Sciences II,12,1,0,11,0,8.3,0,91.7,0
JSTOR Arts and Sciences IV,4,0,0,4,0,0,0,100,0
JSTOR Arts and Sciences IX,6,2,0,4,0,33.3,0,66.7,0
JSTOR Arts and Sciences V,2,0,0,2,0,0,0,100,0
JSTOR Arts and Sciences VI,8,0,0,8,0,0,0,100,0
JSTOR Arts and Sciences VII,8,2,0,6,0,25,0,75,0
JSTOR Arts and Sciences VIII,1,1,0,0,0,100,0,0,0
JSTOR Arts and Sciences X,2,0,0,2,0,0,0,100,0
JSTOR Arts & Sciences XII,1,0,0,1,0,0,0,100,0
JSTOR Arts & Sciences XIV,1,0,0,1,0,0,0,100,0
JSTOR Life Sciences Collection,95,13,1,80,1,13.7,1.1,84.2,1.1
Ejournal Publishers,4,1,0,3,0,25,0,75,0
Nature,2,0,0,2,0,0,0,100,0
Nexis Uni,10,1,1,7,1,10,10,70,10
Nursing & Allied Health Database,10,0,2,8,0,0,20,80,0
Journals@Ovid Complete,1,0,0,1,0,0,0,100,0
Oxford Journals Archive Collection,29,0,0,8,21,0,0,27.6,72.4
Project Muse Premium Collection,11,1,0,10,0,9.1,0,90.9,0
Public Health Database,40,2,2,36,0,5,5,90,0
Royal Society of Chemistry Archive,1,0,0,1,0,0,0,100,0
Royal Society Publishing,5,3,0,2,0,60,0,40,0
CRKN Royal Society of Chemistry Journals Gold,3,2,0,1,0,66.7,0,33.3,0
SAGE Communication and Media Studies Collection,2,0,0,2,0,0,0,100,0
SAGE Complete,1,0,0,1,0,0,0,100,0
SAGE Complete Deep Backfile Purchase 2015,26,0,0,13,13,0,0,50,50
Sage CRKN Collection,37,7,1,20,9,18.9,2.7,54.1,24.3
SAGE Management & Org Studies FTC,3,0,3,0,0,0,100,0,0
SAGE Psychology FTC,1,0,1,0,0,0,100,0,0
SAGE Sociology FTC,4,0,4,0,0,0,100,0,0
SpringerLink Journals - AutoHoldings,186,71,2,113,0,38.2,1.1,60.8,0
Taylor & Francis Arts & Humanities Online Archive,3,0,0,1,2,0,0,33.3,66.7
Taylor & Francis CRKN Social Science and Humanities,58,18,0,40,0,31,0,69,0
University of Chicago Press Journals,1,0,1,0,0,0,100,0,0
Wiley Online Library All Journals,4,0,0,4,0,0,0,100,0
