Journal,Management,First Section,Second Section,Third Section,Fourth Section,Fifth Section,PubType,Relevance,ISSN
ALLGEMEINE FORST UND JAGDZEITUNG,1,X,NA,X,1,X,J,1,0002-5852
ANNALES BOTANICI FENNICI,1,X,NA,X,X,1,J,1,0003-3847
ANNALS OF ARID ZONE,1,X,NA,X,X,1,J,1,0570-1791
AQUACULTURE ECONOMICS & MANAGEMENT,1,X,NA,1,X,X,J,1,1365-7305
AQUATIC MICROBIAL ECOLOGY,1,X,NA,X,1,X,J,1,0948-3055
ARDEOLA,1,X,NA,X,1,1,J,1,0570-7358
BIOMED RESEARCH INTERNATIONAL,1,X,1,X,X,X,J,1,2314-6133
CALIFORNIA COOPERATIVE OCEANIC FISHERIES INVESTIGATIONS REPORTS,1,X,NA,X,NA,1,J,1,0575-3317
COMPUTERS & MATHEMATICS WITH APPLICATIONS,1,X,NA,X,NA,1,J,1,0898-1221
ECONOMICS-THE OPEN ACCESS OPEN-ASSESSMENT E-JOURNAL,1,X,NA,X,1,X,J,1,1864-6042
ECONOMY AND SOCIETY,1,X,NA,X,1,X,J,1,0308-5147
EURASIAN SOIL SCIENCE,1,X,NA,X,NA,1,J,1,1064-2293
Evolutionary Applications,1,X,NA,X,1,X,J,1,1752-4571
GENETIC ANALYSIS-BIOMOLECULAR ENGINEERING,1,X,NA,X,X,1,J,1,1050-3862
GLOBAL HEALTH ACTION,1,X,NA,X,1,X,J,1,1654-9880
HEREDITAS,1,X,NA,X,X,1,J,1,1601-5223
INTERNATIONAL JOURNAL OF WATER GOVERNANCE,1,X,NA,1,X,X,J,1,2211-4491
INTERNATIONAL REGIONAL SCIENCE REVIEW,1,X,NA,X,1,X,J,1,0160-0176
JOURNAL OF AFRICAN ECONOMIES,1,X,NA,X,X,1,J,1,0963-8024
JOURNAL OF AQUATIC ANIMAL HEALTH,1,X,NA,X,X,1,J,1,0899-7659
JOURNAL OF INSTITUTIONAL ECONOMICS,1,1,NA,X,X,X,J,1,1744-1374
JOURNAL OF REPRODUCTION AND FERTILITY,1,X,NA,X,X,1,J,1,2228-5482
JOURNAL OF TOXICOLOGY AND ENVIRONMENTAL HEALTH-PART A,1,X,NA,X,X,1,J,1,1528-7394
MARINE ECOLOGY-PUBBLICAZIONI DELLA STAZIONE ZOOLOGICA DI NAPOLI I,1,X,NA,X,X,1,J,1,0173-9565
MCGILL INTERNATIONAL JOURNAL OF SUSTAINABLE DEVELOPMENT LAW AND POLICY,1,X,1,X,X,X,J,1,1712-9664
NATURE & RESOURCES,1,X,NA,X,X,1,J,1,0028-0844
PHARMACEUTICAL BIOLOGY,1,X,NA,X,X,1,J,1,1388-0209 
POLITICS AND THE LIFE SCIENCES,1,X,NA,X,X,1,J,1,0730-9384
PROCEEDINGS OF THE GEOLOGISTS ASSOCIATION,1,NA,X,1,X,X,J,1,0016-7878
PURE AND APPLIED CHEMISTRY,1,X,NA,X,X,1,J,1,0033-4545
REGULATED RIVERS-RESEARCH & MANAGEMENT,1,X,NA,X,X,1,J,1,0886-9375
SOUTH AFRICAN JOURNAL OF WILDLIFE RESEARCH,1,X,NA,X,X,1,J,1,2410-7220
VETERINARIJA IR ZOOTECHNIKA,1,X,X,X,1,X,J,1,1392-2130
