Rank;Global Rank;Institution;Country;Sector;Best Country Quartile
1;31;University of Toronto;CAN;Universities;1
2;76;The University of British Columbia;CAN;Universities;1
3;142;McGill University;CAN;Universities;1
4;152;University of Alberta;CAN;Universities;1
5;225;Vancouver Prostate Centre;CAN;Health;1
6;248;University of Calgary;CAN;Universities;1
7;273;University Health Network *;CAN;Health;1
8;290;Ontario Institute for Cancer Research;CAN;Non-Profit;1
9;318;University of Waterloo;CAN;Universities;1
10;322;Universite de Montreal;CAN;Universities;1
11;328;McMaster University;CAN;Universities;1
12;346;British Columbia Cancer Agency;CAN;Health;1
13;348;Princess Margaret Cancer Centre;CAN;Health;1
14;364;University of Western Ontario;CAN;Universities;1
15;373;University of Ottawa;CAN;Universities;1
16;456;Hospital for Sick Children;CAN;Health;1
17;463;Population Health Research Institute;CAN;Health;1
17;463;Simon Fraser University;CAN;Universities;1
18;467;University of Manitoba;CAN;Universities;1
19;470;Canadian Institute for Advance Research;CAN;Government;1
19;470;Mount Sinai Hospital Joseph and Wolf Lebovic Health Complex;CAN;Health;1
19;470;Universite du Quebec en Quebec *;CAN;Universities;1
19;470;Dalhousie University;CAN;Universities;1
20;471;Laval University;CAN;Universities;1
21;507;Queen's University;CAN;Universities;1
22;522;McGill University Health Centre;CAN;Health;1
23;526;Toronto General Hospital;CAN;Health;1
24;531;University of Saskatchewan;CAN;Universities;1
25;533;St Michaels Hospital Toronto;CAN;Health;1
26;535;Public Health Agency of Canada;CAN;Health;1
27;544;University of Guelph;CAN;Universities;1
28;547;The Ottawa Hospital  *;CAN;Health;1
29;548;Robarts Research Institute;CAN;Health;1
29;548;Cross Cancer Institute;CAN;Health;1
30;551;National Research Council Canada *;CAN;Government;1
31;552;Centre Hospitalier Universitaire de Quebec;CAN;Health;1
32;557;Ottawa Hospital Research Institute;CAN;Health;1
32;557; Centre Hospitalier de l'Universite de Montreal;CAN;Health;1
33;561;University of Victoria;CAN;Universities;1
34;568;Hamilton Health Sciences;CAN;Health;1
35;571;Sir Mortimer B. Davis Jewish General Hospital;CAN;Health;1
36;577;Sherbrooke University;CAN;Universities;1
37;586;Sunnybrook Health Sciences Centre;CAN;Health;1
38;591;Lawson Health Research Institute;CAN;Health;1
39;597;York University;CAN;Universities;1
40;598;Carleton University;CAN;Universities;1
41;603;St. Joseph's Healthcare Hamilton;CAN;Health;2
42;606;Montreal Heart Institute;CAN;Health;1
43;610;Toronto Western Hospital;CAN;Health;2
44;615;Universite du Quebec en Montreal;CAN;Universities;1
45;620;Agriculture and Agri-Food Canada;CAN;Government;2
46;621;Institut National de la Recherche Scientifique;CAN;Universities;1
47;625;Centre Hospitalier Universitaire Sainte-Justine;CAN;Health;1
48;628;Concordia University;CAN;Universities;1
49;629;Institut Universitaire de Cardiologie et de Pneumologie de Quebec;CAN;Health;2
50;639;Ecole Polytechnique de Montreal;CAN;Universities;2
51;640;Kingston General Hospital;CAN;Health;2
51;640;Memorial University of Newfoundland;CAN;Universities;1
52;642;Vancouver Coastal Health;CAN;Health;2
53;645;Tom Baker Cancer Centre;CAN;Health;1
54;648;Ecole de Technologie Superieure;CAN;Universities;1
54;648;Queen Elizabeth II Health Sciences Centre;CAN;Health;2
55;650;Children's Hospital of Eastern Ontario;CAN;Health;2
55;650;Centre for Addiction and Mental Health;CAN;Health;2
56;661;Alberta Children's Hospital;CAN;Health;2
56;661;Perimeter Institute for Theoretical Physics;CAN;Non-Profit;2
57;662;Ryerson University;CAN;Universities;2
58;663;Providence Health Care;CAN;Health;2
59;670;Douglas Mental Health University Institute;CAN;Government;2
60;671;London Health Sciences Centre;CAN;Health;2
61;672;University of Ottawa Heart Institute;CAN;Health;2
62;676;British Columbia Centre for Disease Control;CAN;Health;2
63;684;BC Children's Hospital and Sunny Hill Health Centre for Children Vancouver;CAN;Health;2
64;691;Institute for Clinical Evaluative Sciences;CAN;Health;2
65;692;Foothills Medical Centre;CAN;Health;2
66;696;Environment Canada;CAN;Government;1
67;702;Rotman Research Institute;CAN;Health;3
68;703;Health Canada;CAN;Health;2
69;705;Cancercare Manitoba;CAN;Health;3
70;708;University of New Brunswick;CAN;Universities;2
70;708;Women's College Hospital;CAN;Health;2
71;709;Bruyere Research Institute;CAN;Health;2
71;709;University of Alberta Hospital;CAN;Health;3
72;711;Public Health Ontario;CAN;Health;2
73;714;Alberta Health Services;CAN;Health;3
74;717;Natural Resources Canada;CAN;Government;2
75;724;Brock University;CAN;Universities;2
76;726;TRIUMF - National Laboratory for Particle and Nuclear Physics;CAN;Government;2
77;731;University of Ontario Institute of Technology;CAN;Universities;3
78;732;University of Windsor;CAN;Universities;2
79;733;Defence Research and Development Canada;CAN;Government;2
79;733;IWK Health Centre;CAN;Health;3
80;736;Northern Ontario School of Medicine;CAN;Universities;3
81;739;St. Francis Xavier University;CAN;Universities;3
82;743;Toronto Rehab ;CAN;Health;3
83;746;Wilfrid Laurier University;CAN;Universities;2
84;747;University of Prince Edward Island;CAN;Universities;3
85;748;University of Moncton;CAN;Universities;2
85;748;Lakehead University;CAN;Universities;3
86;754;Institut Universitaire de Geriatrie de Montreal;CAN;Health;3
87;755;Acadia University;CAN;Universities;3
88;757;Saint Mary's University;CAN;Universities;3
89;759;Holland Bloorview Kids Rehabilitation Hospital;CAN;Health;3
90;760;University of Regina;CAN;Universities;2
91;762;Universite du Quebec en Trois-Rivieres;CAN;Universities;3
92;764;Universite du Quebec en Chicoutimi;CAN;Universities;3
93;766;Universite du Quebec en Abitibi-Temiscamingue;CAN;Universities;3
94;767;University of Lethbridge;CAN;Universities;3
95;773;Universite du Quebec en Rimouski;CAN;Universities;3
95;773;Trent University;CAN;Universities;3
96;776;Royal Military College of Canada;CAN;Universities;3
96;776;Brandon University;CAN;Universities;4
97;781;Mount Allison University;CAN;Universities;3
98;782;The University of Winnipeg;CAN;Universities;3
99;784;Bedford Institute of Oceanography;CAN;Government;4
100;785;Stollery Children's Hospital Foundation;CAN;Health;4
101;790;Montreal School of Higher Commercial Studies;CAN;Universities;3
102;792;Laurentian University;CAN;Universities;3
103;799;University of Northern British Columbia;CAN;Universities;3
104;803;Universite du Quebec en Outaouais;CAN;Universities;4
105;807;Thompson Rivers University;CAN;Universities;4
106;808;Atomic Energy of Canada Ltd *;CAN;Companies;3
107;813;Athabasca University;CAN;Universities;3
107;813;Mount Royal College;CAN;Universities;4
108;815;Mount Saint Vincent University;CAN;Universities;4
109;818;MacEwan University;CAN;Universities;4
110;839;Canadian Nuclear Laboratories;CAN;Government;4
